author_username,avg_play_count,avg_engagement,avg_likes,avg_shares,avg_comments,avg_hashtags,avg_duration,avg_posting_hour,video_count,category,tier
melihagbi,473774.0352303523,0.03536083468834688,15068.373983739837,683.1192411924119,103.95392953929539,0.07046070460704607,47.68834688346883,12.300813008130081,369,entertainment,1
melisaaergun,56273.177777777775,0.03010166666666667,1301.0666666666666,154.48888888888888,16.533333333333335,13.977777777777778,31.977777777777778,16.844444444444445,45,food_beverage,2
meliskocyks,46661.91447368421,0.03789882230263158,1730.891447368421,116.78289473684211,29.032894736842106,4.052631578947368,29.450657894736842,14.657894736842104,304,education,1
memediste,1573.1666666666667,0.05654825,79.16666666666667,1.0,5.0,2.0,26.666666666666668,10.5,12,travel,2
mensscode,77118.55555555556,0.014799000000000001,1198.1975308641975,196.25925925925927,11.530864197530864,4.419753086419753,45.370370370370374,18.061728395061728,81,fashion_beauty,1
mertalllbayrak,640494.1421319797,0.016261736040609136,13951.517766497462,1265.4263959390862,134.53299492385787,6.67005076142132,59.984771573604064,15.969543147208121,197,food_beverage,1
mezunakalanlar,18254.484353741496,0.008305651700680271,210.93061224489796,52.2734693877551,0.17687074829931973,0.1564625850340136,72.17020408163265,15.508843537414966,735,education,1
milliyiyici,366384.79262672813,0.013216299539170506,4913.21198156682,433.5437788018433,81.51152073732719,4.23963133640553,93.61290322580645,16.161290322580644,217,food_beverage,1
muratdogtas,17030.154639175256,0.03351162886597938,442.30927835051546,72.23195876288659,20.13917525773196,0.5154639175257731,19.00515463917526,15.664948453608247,194,fitness_health,1
mustafacozer,434919.44910179643,0.014087407185628741,6505.802395209581,860.2095808383234,89.87425149700599,4.344311377245509,45.865269461077844,12.625748502994012,334,business_finance,2
mustanhasan,543095.9641255605,0.039562901345291474,19554.91479820628,285.56502242152465,269.32286995515693,4.690582959641255,33.7847533632287,14.201793721973095,223,entertainment,1
mzcbodybuilding,16245.95652173913,0.020497663043478262,255.5,38.69565217391305,26.956521739130434,3.510869565217391,185.3804347826087,10.76086956521739,92,fitness_health,2
n.oztel,57426.28897338403,0.03110207209125474,2807.661596958175,229.893536121673,19.76425855513308,0.9505703422053232,29.197718631178706,16.26615969581749,263,fitness_health,1
nalantutoglu,139267.04347826086,0.01987804347826087,703.2934782608696,177.25,9.16304347826087,5.804347826086956,35.75,16.380434782608695,92,travel,1
necmizengin6,54411.488038277515,0.018613033492822968,562.622009569378,126.96172248803828,17.177033492822968,2.9665071770334928,44.655502392344495,13.16267942583732,209,food_beverage,2
nihesal_,51293.256,0.040848367919999996,2066.448,191.288,14.408,1.664,29.832,14.68,125,lifestyle,1
nisafitss,49042.945539906104,0.031115239370892018,2326.3079812206574,198.30985915492957,15.938967136150234,2.3417840375586856,24.92769953051643,13.765258215962442,1065,lifestyle,1
novazeka,245184.90068493152,0.02992345890410959,7449.3835616438355,235.3082191780822,107.35958904109589,3.345890410958904,60.60958904109589,15.900684931506849,292,education,1
nurullahhocaportall,1574.6336633663366,0.023396158415841584,21.0,1.8415841584158417,2.1485148514851486,0.13861386138613863,77.31683168316832,13.0,101,education,2
ogrencidiliveedebiyati,22202.48780487805,0.056218804878048784,962.5365853658536,56.146341463414636,7.2439024390243905,4.658536585365853,85.29268292682927,10.390243902439025,41,education,2
ogulcan,1438334.2323232323,0.07800129131313122,95601.17171717172,2412.2727272727275,580.2121212121212,0.6363636363636364,27.242424242424242,13.94949494949495,99,entertainment,0
oguzustayks,219482.16446124762,0.03450536862003781,7992.395085066162,397.3837429111531,40.996219281663514,2.6540642722117203,30.979206049149337,16.61436672967864,529,education,1
okanuspor,14536.964788732394,0.02384317605633803,333.13380281690144,18.711267605633804,2.8661971830985915,0.6690140845070423,50.38028169014085,12.67605633802817,142,fitness_health,2
omurgamaxxer,10485.069444444445,0.028885791666666667,232.13888888888889,34.513888888888886,24.194444444444443,5.236111111111111,35.90277777777778,16.36111111111111,72,fitness_health,1
onurfit,29260.558139534885,0.01573287707641196,386.2292358803987,62.7641196013289,9.534883720930232,3.292358803986711,28.45514950166113,13.524916943521594,301,fitness_health,2
optimummatematik,128773.68176670442,0.014871439411098529,1690.237825594564,192.1030577576444,20.45073612684032,5.344280860702152,42.574178935447335,12.063420158550397,883,education,2
oyunkatledici,26620.114285714284,0.021714856999999994,535.2142857142857,41.714285714285715,31.885714285714286,3.5428571428571427,43.9638,14.057142857142857,70,gaming,2
ozturkkhaktan,258080.6853448276,0.024909282327586206,4703.2823275862065,201.58836206896552,76.26077586206897,1.605603448275862,33.17456896551724,15.793103448275861,464,fashion_beauty,1
papioyunda00,306727.273381295,0.06843158543165462,15721.305755395684,172.61330935251797,86.20863309352518,5.9640287769784175,26.26618705035971,12.81115107913669,556,gaming,1
para_analiz,942.7837837837837,0.1079039101351346,90.3108108108108,45.32432432432432,50.66216216216216,3.891891891891892,48.24324324324324,12.31081081081081,74,business_finance,1
ptnilll,7467.838461538461,0.055883222692307666,161.72307692307692,13.4,3.1769230769230767,3.7153846153846155,15.8,17.092307692307692,130,lifestyle,1
rasitbagzibagli,718144.537815126,0.013696151260504202,10926.66386554622,479.05882352941177,85.10084033613445,0.025210084033613446,36.78151260504202,14.789915966386555,119,fashion_beauty,1
riceofminaa,280653.36842105264,0.05621720999999997,13926.842105263158,990.4736842105264,116.0,4.421052631578948,18.789473684210527,11.0,19,lifestyle,2
roxanroxanna,38304.55172413793,0.019246879310344828,1031.7068965517242,96.94827586206897,21.137931034482758,5.5344827586206895,26.448275862068964,13.017241379310345,58,food_beverage,2
ruyandac,705282.8285714285,0.041840199999999994,28311.161904761906,1848.3809523809523,97.75238095238095,0.11428571428571428,37.2952380952381,14.457142857142857,105,entertainment,1
s.blt58,2186200.0,0.04997351923076923,102024.71153846153,8406.548076923076,6.384615384615385,0.875,28.75,16.423076923076923,104,entertainment,0
salihjohnnykonuk,42384.37037037037,0.01583047222222222,685.8703703703703,23.87962962962963,25.25925925925926,4.166666666666667,33.18518518518518,9.87037037037037,108,travel,2
sametisfit,79131.09677419355,0.015538505376344087,1284.3010752688172,54.13978494623656,16.086021505376344,0.16129032258064516,33.053763440860216,14.03225806451613,93,fitness_health,1
saniyetiktokkk,96654.64444444445,0.05712002222222222,5615.133333333333,391.97777777777776,22.333333333333332,5.0,47.955555555555556,10.133333333333333,45,entertainment,2
sarraf_gokhan,199769.05154639174,0.009437927835051546,2274.7388316151205,190.31615120274915,37.707903780068726,4.9243986254295535,32.36769759450172,12.920962199312715,291,business_finance,2
selenninky,16473.777777777777,0.05652627777777778,972.1111111111111,146.88888888888889,7.444444444444445,0.8888888888888888,20.444444444444443,16.38888888888889,18,lifestyle,1
senamiakalip,703660.1593625498,0.03622816932270916,25778.27888446215,608.0418326693227,94.18326693227091,0.099601593625498,18.193227091633467,13.737051792828685,502,entertainment,1
seninhocan,81066.42222222222,0.02176971111111111,1486.4888888888888,786.0,48.62222222222222,5.822222222222222,137.2435111111111,15.044444444444444,45,education,2
seyahaterapisi,557160.3472222222,0.036075125,32299.055555555555,504.9861111111111,341.9583333333333,2.5555555555555554,20.430555555555557,15.26388888888889,72,travel,1
seyfettinpeace,120045.71428571429,0.013033804511278195,1603.9323308270677,37.7593984962406,16.06766917293233,0.6240601503759399,39.63157894736842,14.691729323308271,133,fitness_health,1
sibilcetinkaya,454842.55663430423,0.024674681229773465,12189.398058252427,767.8171521035599,39.95307443365696,0.6618122977346278,24.016181229773462,14.90453074433657,618,lifestyle,1
simgetatoglu,58382.34328358209,0.030961208805970142,1702.0597014925372,116.25373134328358,33.656716417910445,1.328358208955224,51.64179104477612,16.746268656716417,67,fashion_beauty,1
sinemtemiiz,18643.370689655174,0.0424266723275862,910.9137931034483,40.37931034482759,15.629310344827585,5.25,29.54310344827586,12.974137931034482,116,travel,2
